"","V1"
"ml101","na - type of mosquito bed net(s) slept under last night"
"bidx_01","birth column number"
"bidx_02","birth column number"
"bidx_03","birth column number"
"bidx_04","birth column number"
"bidx_05","birth column number"
"bidx_06","birth column number"
"bidx_07","birth column number"
"bidx_08","birth column number"
"bidx_09","birth column number"
"bidx_10","birth column number"
"bidx_11","birth column number"
"bidx_12","birth column number"
"bidx_13","birth column number"
"bidx_14","birth column number"
"bidx_15","birth column number"
"bidx_16","birth column number"
"bidx_17","birth column number"
"bidx_18","birth column number"
"bidx_19","birth column number"
"bidx_20","birth column number"
"bidxp_01","index to pregnancy history"
"bidxp_02","index to pregnancy history"
"bidxp_03","index to pregnancy history"
"bidxp_04","index to pregnancy history"
"bidxp_05","index to pregnancy history"
"bidxp_06","index to pregnancy history"
"bidxp_07","index to pregnancy history"
"bidxp_08","index to pregnancy history"
"bidxp_09","index to pregnancy history"
"bidxp_10","index to pregnancy history"
"bidxp_11","index to pregnancy history"
"bidxp_12","index to pregnancy history"
"bidxp_13","index to pregnancy history"
"bidxp_14","index to pregnancy history"
"bidxp_15","index to pregnancy history"
"bidxp_16","index to pregnancy history"
"bidxp_17","index to pregnancy history"
"bidxp_18","index to pregnancy history"
"bidxp_19","index to pregnancy history"
"bidxp_20","index to pregnancy history"
"bord_01","birth order number"
"bord_02","birth order number"
"bord_03","birth order number"
"bord_04","birth order number"
"bord_05","birth order number"
"bord_06","birth order number"
"bord_07","birth order number"
"bord_08","birth order number"
"bord_09","birth order number"
"bord_10","birth order number"
"bord_11","birth order number"
"bord_12","birth order number"
"bord_13","birth order number"
"bord_14","birth order number"
"bord_15","birth order number"
"bord_16","birth order number"
"bord_17","birth order number"
"bord_18","birth order number"
"bord_19","birth order number"
"bord_20","birth order number"
"b0_01","child is twin"
"b0_02","child is twin"
"b0_03","child is twin"
"b0_04","child is twin"
"b0_05","child is twin"
"b0_06","child is twin"
"b0_07","child is twin"
"b0_08","child is twin"
"b0_09","child is twin"
"b0_10","child is twin"
"b0_11","child is twin"
"b0_12","child is twin"
"b0_13","child is twin"
"b0_14","child is twin"
"b0_15","child is twin"
"b0_16","child is twin"
"b0_17","child is twin"
"b0_18","child is twin"
"b0_19","child is twin"
"b0_20","child is twin"
"b1_01","month of birth"
"b1_02","month of birth"
"b1_03","month of birth"
"b1_04","month of birth"
"b1_05","month of birth"
"b1_06","month of birth"
"b1_07","month of birth"
"b1_08","month of birth"
"b1_09","month of birth"
"b1_10","month of birth"
"b1_11","month of birth"
"b1_12","month of birth"
"b1_13","month of birth"
"b1_14","month of birth"
"b1_15","month of birth"
"b1_16","month of birth"
"b1_17","month of birth"
"b1_18","month of birth"
"b1_19","month of birth"
"b1_20","month of birth"
"b2_01","year of birth"
"b2_02","year of birth"
"b2_03","year of birth"
"b2_04","year of birth"
"b2_05","year of birth"
"b2_06","year of birth"
"b2_07","year of birth"
"b2_08","year of birth"
"b2_09","year of birth"
"b2_10","year of birth"
"b2_11","year of birth"
"b2_12","year of birth"
"b2_13","year of birth"
"b2_14","year of birth"
"b2_15","year of birth"
"b2_16","year of birth"
"b2_17","year of birth"
"b2_18","year of birth"
"b2_19","year of birth"
"b2_20","year of birth"
"b3_01","date of birth (cmc)"
"b3_02","date of birth (cmc)"
"b3_03","date of birth (cmc)"
"b3_04","date of birth (cmc)"
"b3_05","date of birth (cmc)"
"b3_06","date of birth (cmc)"
"b3_07","date of birth (cmc)"
"b3_08","date of birth (cmc)"
"b3_09","date of birth (cmc)"
"b3_10","date of birth (cmc)"
"b3_11","date of birth (cmc)"
"b3_12","date of birth (cmc)"
"b3_13","date of birth (cmc)"
"b3_14","date of birth (cmc)"
"b3_15","date of birth (cmc)"
"b3_16","date of birth (cmc)"
"b3_17","date of birth (cmc)"
"b3_18","date of birth (cmc)"
"b3_19","date of birth (cmc)"
"b3_20","date of birth (cmc)"
"b4_01","sex of child"
"b4_02","sex of child"
"b4_03","sex of child"
"b4_04","sex of child"
"b4_05","sex of child"
"b4_06","sex of child"
"b4_07","sex of child"
"b4_08","sex of child"
"b4_09","sex of child"
"b4_10","sex of child"
"b4_11","sex of child"
"b4_12","sex of child"
"b4_13","sex of child"
"b4_14","sex of child"
"b4_15","sex of child"
"b4_16","sex of child"
"b4_17","sex of child"
"b4_18","sex of child"
"b4_19","sex of child"
"b4_20","sex of child"
"b5_01","child is alive"
"b5_02","child is alive"
"b5_03","child is alive"
"b5_04","child is alive"
"b5_05","child is alive"
"b5_06","child is alive"
"b5_07","child is alive"
"b5_08","child is alive"
"b5_09","child is alive"
"b5_10","child is alive"
"b5_11","child is alive"
"b5_12","child is alive"
"b5_13","child is alive"
"b5_14","child is alive"
"b5_15","child is alive"
"b5_16","child is alive"
"b5_17","child is alive"
"b5_18","child is alive"
"b5_19","child is alive"
"b5_20","child is alive"
"b6_01","age at death"
"b6_02","age at death"
"b6_03","age at death"
"b6_04","age at death"
"b6_05","age at death"
"b6_06","age at death"
"b6_07","age at death"
"b6_08","age at death"
"b6_09","age at death"
"b6_10","age at death"
"b6_11","age at death"
"b6_12","age at death"
"b6_13","age at death"
"b6_14","age at death"
"b6_15","age at death"
"b6_16","age at death"
"b6_17","age at death"
"b6_18","age at death"
"b6_19","age at death"
"b6_20","age at death"
"b7_01","age at death (months, imputed)"
"b7_02","age at death (months, imputed)"
"b7_03","age at death (months, imputed)"
"b7_04","age at death (months, imputed)"
"b7_05","age at death (months, imputed)"
"b7_06","age at death (months, imputed)"
"b7_07","age at death (months, imputed)"
"b7_08","age at death (months, imputed)"
"b7_09","age at death (months, imputed)"
"b7_10","age at death (months, imputed)"
"b7_11","age at death (months, imputed)"
"b7_12","age at death (months, imputed)"
"b7_13","age at death (months, imputed)"
"b7_14","age at death (months, imputed)"
"b7_15","age at death (months, imputed)"
"b7_16","age at death (months, imputed)"
"b7_17","age at death (months, imputed)"
"b7_18","age at death (months, imputed)"
"b7_19","age at death (months, imputed)"
"b7_20","age at death (months, imputed)"
"b8_01","current age of child"
"b8_02","current age of child"
"b8_03","current age of child"
"b8_04","current age of child"
"b8_05","current age of child"
"b8_06","current age of child"
"b8_07","current age of child"
"b8_08","current age of child"
"b8_09","current age of child"
"b8_10","current age of child"
"b8_11","current age of child"
"b8_12","current age of child"
"b8_13","current age of child"
"b8_14","current age of child"
"b8_15","current age of child"
"b8_16","current age of child"
"b8_17","current age of child"
"b8_18","current age of child"
"b8_19","current age of child"
"b8_20","current age of child"
"b9_01","child lives with whom"
"b9_02","child lives with whom"
"b9_03","child lives with whom"
"b9_04","child lives with whom"
"b9_05","child lives with whom"
"b9_06","child lives with whom"
"b9_07","child lives with whom"
"b9_08","child lives with whom"
"b9_09","child lives with whom"
"b9_10","child lives with whom"
"b9_11","child lives with whom"
"b9_12","child lives with whom"
"b9_13","child lives with whom"
"b9_14","child lives with whom"
"b9_15","child lives with whom"
"b9_16","child lives with whom"
"b9_17","child lives with whom"
"b9_18","child lives with whom"
"b9_19","child lives with whom"
"b9_20","child lives with whom"
"b10_01","completeness of information"
"b10_02","completeness of information"
"b10_03","completeness of information"
"b10_04","completeness of information"
"b10_05","completeness of information"
"b10_06","completeness of information"
"b10_07","completeness of information"
"b10_08","completeness of information"
"b10_09","completeness of information"
"b10_10","completeness of information"
"b10_11","completeness of information"
"b10_12","completeness of information"
"b10_13","completeness of information"
"b10_14","completeness of information"
"b10_15","completeness of information"
"b10_16","completeness of information"
"b10_17","completeness of information"
"b10_18","completeness of information"
"b10_19","completeness of information"
"b10_20","completeness of information"
"b11_01","preceding birth interval (months)"
"b11_02","preceding birth interval (months)"
"b11_03","preceding birth interval (months)"
"b11_04","preceding birth interval (months)"
"b11_05","preceding birth interval (months)"
"b11_06","preceding birth interval (months)"
"b11_07","preceding birth interval (months)"
"b11_08","preceding birth interval (months)"
"b11_09","preceding birth interval (months)"
"b11_10","preceding birth interval (months)"
"b11_11","preceding birth interval (months)"
"b11_12","preceding birth interval (months)"
"b11_13","preceding birth interval (months)"
"b11_14","preceding birth interval (months)"
"b11_15","preceding birth interval (months)"
"b11_16","preceding birth interval (months)"
"b11_17","preceding birth interval (months)"
"b11_18","preceding birth interval (months)"
"b11_19","preceding birth interval (months)"
"b11_20","preceding birth interval (months)"
"b12_01","succeeding birth interval (months)"
"b12_02","succeeding birth interval (months)"
"b12_03","succeeding birth interval (months)"
"b12_04","succeeding birth interval (months)"
"b12_05","succeeding birth interval (months)"
"b12_06","succeeding birth interval (months)"
"b12_07","succeeding birth interval (months)"
"b12_08","succeeding birth interval (months)"
"b12_09","succeeding birth interval (months)"
"b12_10","succeeding birth interval (months)"
"b12_11","succeeding birth interval (months)"
"b12_12","succeeding birth interval (months)"
"b12_13","succeeding birth interval (months)"
"b12_14","succeeding birth interval (months)"
"b12_15","succeeding birth interval (months)"
"b12_16","succeeding birth interval (months)"
"b12_17","succeeding birth interval (months)"
"b12_18","succeeding birth interval (months)"
"b12_19","succeeding birth interval (months)"
"b12_20","succeeding birth interval (months)"
"b13_01","flag for age at death"
"b13_02","flag for age at death"
"b13_03","flag for age at death"
"b13_04","flag for age at death"
"b13_05","flag for age at death"
"b13_06","flag for age at death"
"b13_07","flag for age at death"
"b13_08","flag for age at death"
"b13_09","flag for age at death"
"b13_10","flag for age at death"
"b13_11","flag for age at death"
"b13_12","flag for age at death"
"b13_13","flag for age at death"
"b13_14","flag for age at death"
"b13_15","flag for age at death"
"b13_16","flag for age at death"
"b13_17","flag for age at death"
"b13_18","flag for age at death"
"b13_19","flag for age at death"
"b13_20","flag for age at death"
"b15_01","live birth between births"
"b15_02","live birth between births"
"b15_03","live birth between births"
"b15_04","live birth between births"
"b15_05","live birth between births"
"b15_06","live birth between births"
"b15_07","live birth between births"
"b15_08","live birth between births"
"b15_09","live birth between births"
"b15_10","live birth between births"
"b15_11","live birth between births"
"b15_12","live birth between births"
"b15_13","live birth between births"
"b15_14","live birth between births"
"b15_15","live birth between births"
"b15_16","live birth between births"
"b15_17","live birth between births"
"b15_18","live birth between births"
"b15_19","live birth between births"
"b15_20","live birth between births"
"b16_01","child's line number in household"
"b16_02","child's line number in household"
"b16_03","child's line number in household"
"b16_04","child's line number in household"
"b16_05","child's line number in household"
"b16_06","child's line number in household"
"b16_07","child's line number in household"
"b16_08","child's line number in household"
"b16_09","child's line number in household"
"b16_10","child's line number in household"
"b16_11","child's line number in household"
"b16_12","child's line number in household"
"b16_13","child's line number in household"
"b16_14","child's line number in household"
"b16_15","child's line number in household"
"b16_16","child's line number in household"
"b16_17","child's line number in household"
"b16_18","child's line number in household"
"b16_19","child's line number in household"
"b16_20","child's line number in household"
"b17_01","day of birth"
"b17_02","day of birth"
"b17_03","day of birth"
"b17_04","day of birth"
"b17_05","day of birth"
"b17_06","day of birth"
"b17_07","day of birth"
"b17_08","day of birth"
"b17_09","day of birth"
"b17_10","day of birth"
"b17_11","day of birth"
"b17_12","day of birth"
"b17_13","day of birth"
"b17_14","day of birth"
"b17_15","day of birth"
"b17_16","day of birth"
"b17_17","day of birth"
"b17_18","day of birth"
"b17_19","day of birth"
"b17_20","day of birth"
"b18_01","century day code of birth (cdc)"
"b18_02","century day code of birth (cdc)"
"b18_03","century day code of birth (cdc)"
"b18_04","century day code of birth (cdc)"
"b18_05","century day code of birth (cdc)"
"b18_06","century day code of birth (cdc)"
"b18_07","century day code of birth (cdc)"
"b18_08","century day code of birth (cdc)"
"b18_09","century day code of birth (cdc)"
"b18_10","century day code of birth (cdc)"
"b18_11","century day code of birth (cdc)"
"b18_12","century day code of birth (cdc)"
"b18_13","century day code of birth (cdc)"
"b18_14","century day code of birth (cdc)"
"b18_15","century day code of birth (cdc)"
"b18_16","century day code of birth (cdc)"
"b18_17","century day code of birth (cdc)"
"b18_18","century day code of birth (cdc)"
"b18_19","century day code of birth (cdc)"
"b18_20","century day code of birth (cdc)"
"b19_01","current age of child in months (months since birth for dead children)"
"b19_02","current age of child in months (months since birth for dead children)"
"b19_03","current age of child in months (months since birth for dead children)"
"b19_04","current age of child in months (months since birth for dead children)"
"b19_05","current age of child in months (months since birth for dead children)"
"b19_06","current age of child in months (months since birth for dead children)"
"b19_07","current age of child in months (months since birth for dead children)"
"b19_08","current age of child in months (months since birth for dead children)"
"b19_09","current age of child in months (months since birth for dead children)"
"b19_10","current age of child in months (months since birth for dead children)"
"b19_11","current age of child in months (months since birth for dead children)"
"b19_12","current age of child in months (months since birth for dead children)"
"b19_13","current age of child in months (months since birth for dead children)"
"b19_14","current age of child in months (months since birth for dead children)"
"b19_15","current age of child in months (months since birth for dead children)"
"b19_16","current age of child in months (months since birth for dead children)"
"b19_17","current age of child in months (months since birth for dead children)"
"b19_18","current age of child in months (months since birth for dead children)"
"b19_19","current age of child in months (months since birth for dead children)"
"b19_20","current age of child in months (months since birth for dead children)"
"b20_01","duration of pregnancy in months"
"b20_02","duration of pregnancy in months"
"b20_03","duration of pregnancy in months"
"b20_04","duration of pregnancy in months"
"b20_05","duration of pregnancy in months"
"b20_06","duration of pregnancy in months"
"b20_07","duration of pregnancy in months"
"b20_08","duration of pregnancy in months"
"b20_09","duration of pregnancy in months"
"b20_10","duration of pregnancy in months"
"b20_11","duration of pregnancy in months"
"b20_12","duration of pregnancy in months"
"b20_13","duration of pregnancy in months"
"b20_14","duration of pregnancy in months"
"b20_15","duration of pregnancy in months"
"b20_16","duration of pregnancy in months"
"b20_17","duration of pregnancy in months"
"b20_18","duration of pregnancy in months"
"b20_19","duration of pregnancy in months"
"b20_20","duration of pregnancy in months"
"b21_01","duration of pregnancy"
"b21_02","duration of pregnancy"
"b21_03","duration of pregnancy"
"b21_04","duration of pregnancy"
"b21_05","duration of pregnancy"
"b21_06","duration of pregnancy"
"b21_07","duration of pregnancy"
"b21_08","duration of pregnancy"
"b21_09","duration of pregnancy"
"b21_10","duration of pregnancy"
"b21_11","duration of pregnancy"
"b21_12","duration of pregnancy"
"b21_13","duration of pregnancy"
"b21_14","duration of pregnancy"
"b21_15","duration of pregnancy"
"b21_16","duration of pregnancy"
"b21_17","duration of pregnancy"
"b21_18","duration of pregnancy"
"b21_19","duration of pregnancy"
"b21_20","duration of pregnancy"
"pidx_01","pregnancy column number"
"pidx_02","pregnancy column number"
"pidx_03","pregnancy column number"
"pidx_04","pregnancy column number"
"pidx_05","pregnancy column number"
"pidx_06","pregnancy column number"
"pidx_07","pregnancy column number"
"pidx_08","pregnancy column number"
"pidx_09","pregnancy column number"
"pidx_10","pregnancy column number"
"pidx_11","pregnancy column number"
"pidx_12","pregnancy column number"
"pidx_13","pregnancy column number"
"pidx_14","pregnancy column number"
"pidx_15","pregnancy column number"
"pidx_16","pregnancy column number"
"pidx_17","pregnancy column number"
"pidx_18","pregnancy column number"
"pidx_19","pregnancy column number"
"pidx_20","pregnancy column number"
"pidxb_01","index to birth history"
"pidxb_02","index to birth history"
"pidxb_03","index to birth history"
"pidxb_04","index to birth history"
"pidxb_05","index to birth history"
"pidxb_06","index to birth history"
"pidxb_07","index to birth history"
"pidxb_08","index to birth history"
"pidxb_09","index to birth history"
"pidxb_10","index to birth history"
"pidxb_11","index to birth history"
"pidxb_12","index to birth history"
"pidxb_13","index to birth history"
"pidxb_14","index to birth history"
"pidxb_15","index to birth history"
"pidxb_16","index to birth history"
"pidxb_17","index to birth history"
"pidxb_18","index to birth history"
"pidxb_19","index to birth history"
"pidxb_20","index to birth history"
"pord_01","pregnancy order number"
"pord_02","pregnancy order number"
"pord_03","pregnancy order number"
"pord_04","pregnancy order number"
"pord_05","pregnancy order number"
"pord_06","pregnancy order number"
"pord_07","pregnancy order number"
"pord_08","pregnancy order number"
"pord_09","pregnancy order number"
"pord_10","pregnancy order number"
"pord_11","pregnancy order number"
"pord_12","pregnancy order number"
"pord_13","pregnancy order number"
"pord_14","pregnancy order number"
"pord_15","pregnancy order number"
"pord_16","pregnancy order number"
"pord_17","pregnancy order number"
"pord_18","pregnancy order number"
"pord_19","pregnancy order number"
"pord_20","pregnancy order number"
"p0_01","pregnancy is multiple"
"p0_02","pregnancy is multiple"
"p0_03","pregnancy is multiple"
"p0_04","pregnancy is multiple"
"p0_05","pregnancy is multiple"
"p0_06","pregnancy is multiple"
"p0_07","pregnancy is multiple"
"p0_08","pregnancy is multiple"
"p0_09","pregnancy is multiple"
"p0_10","pregnancy is multiple"
"p0_11","pregnancy is multiple"
"p0_12","pregnancy is multiple"
"p0_13","pregnancy is multiple"
"p0_14","pregnancy is multiple"
"p0_15","pregnancy is multiple"
"p0_16","pregnancy is multiple"
"p0_17","pregnancy is multiple"
"p0_18","pregnancy is multiple"
"p0_19","pregnancy is multiple"
"p0_20","pregnancy is multiple"
"p1_01","month of pregnancy outcome"
"p1_02","month of pregnancy outcome"
"p1_03","month of pregnancy outcome"
"p1_04","month of pregnancy outcome"
"p1_05","month of pregnancy outcome"
"p1_06","month of pregnancy outcome"
"p1_07","month of pregnancy outcome"
"p1_08","month of pregnancy outcome"
"p1_09","month of pregnancy outcome"
"p1_10","month of pregnancy outcome"
"p1_11","month of pregnancy outcome"
"p1_12","month of pregnancy outcome"
"p1_13","month of pregnancy outcome"
"p1_14","month of pregnancy outcome"
"p1_15","month of pregnancy outcome"
"p1_16","month of pregnancy outcome"
"p1_17","month of pregnancy outcome"
"p1_18","month of pregnancy outcome"
"p1_19","month of pregnancy outcome"
"p1_20","month of pregnancy outcome"
"p2_01","year of pregnancy outcome"
"p2_02","year of pregnancy outcome"
"p2_03","year of pregnancy outcome"
"p2_04","year of pregnancy outcome"
"p2_05","year of pregnancy outcome"
"p2_06","year of pregnancy outcome"
"p2_07","year of pregnancy outcome"
"p2_08","year of pregnancy outcome"
"p2_09","year of pregnancy outcome"
"p2_10","year of pregnancy outcome"
"p2_11","year of pregnancy outcome"
"p2_12","year of pregnancy outcome"
"p2_13","year of pregnancy outcome"
"p2_14","year of pregnancy outcome"
"p2_15","year of pregnancy outcome"
"p2_16","year of pregnancy outcome"
"p2_17","year of pregnancy outcome"
"p2_18","year of pregnancy outcome"
"p2_19","year of pregnancy outcome"
"p2_20","year of pregnancy outcome"
"p3_01","date of end of pregnancy (cmc)"
"p3_02","date of end of pregnancy (cmc)"
"p3_03","date of end of pregnancy (cmc)"
"p3_04","date of end of pregnancy (cmc)"
"p3_05","date of end of pregnancy (cmc)"
"p3_06","date of end of pregnancy (cmc)"
"p3_07","date of end of pregnancy (cmc)"
"p3_08","date of end of pregnancy (cmc)"
"p3_09","date of end of pregnancy (cmc)"
"p3_10","date of end of pregnancy (cmc)"
"p3_11","date of end of pregnancy (cmc)"
"p3_12","date of end of pregnancy (cmc)"
"p3_13","date of end of pregnancy (cmc)"
"p3_14","date of end of pregnancy (cmc)"
"p3_15","date of end of pregnancy (cmc)"
"p3_16","date of end of pregnancy (cmc)"
"p3_17","date of end of pregnancy (cmc)"
"p3_18","date of end of pregnancy (cmc)"
"p3_19","date of end of pregnancy (cmc)"
"p3_20","date of end of pregnancy (cmc)"
"p4_01","sex of child"
"p4_02","sex of child"
"p4_03","sex of child"
"p4_04","sex of child"
"p4_05","sex of child"
"p4_06","sex of child"
"p4_07","sex of child"
"p4_08","sex of child"
"p4_09","sex of child"
"p4_10","sex of child"
"p4_11","sex of child"
"p4_12","sex of child"
"p4_13","sex of child"
"p4_14","sex of child"
"p4_15","sex of child"
"p4_16","sex of child"
"p4_17","sex of child"
"p4_18","sex of child"
"p4_19","sex of child"
"p4_20","sex of child"
"p5_01","child is alive"
"p5_02","child is alive"
"p5_03","child is alive"
"p5_04","child is alive"
"p5_05","child is alive"
"p5_06","child is alive"
"p5_07","child is alive"
"p5_08","child is alive"
"p5_09","child is alive"
"p5_10","child is alive"
"p5_11","child is alive"
"p5_12","child is alive"
"p5_13","child is alive"
"p5_14","child is alive"
"p5_15","child is alive"
"p5_16","child is alive"
"p5_17","child is alive"
"p5_18","child is alive"
"p5_19","child is alive"
"p5_20","child is alive"
"p6_01","age at death"
"p6_02","age at death"
"p6_03","age at death"
"p6_04","age at death"
"p6_05","age at death"
"p6_06","age at death"
"p6_07","age at death"
"p6_08","age at death"
"p6_09","age at death"
"p6_10","age at death"
"p6_11","age at death"
"p6_12","age at death"
"p6_13","age at death"
"p6_14","age at death"
"p6_15","age at death"
"p6_16","age at death"
"p6_17","age at death"
"p6_18","age at death"
"p6_19","age at death"
"p6_20","age at death"
"p7_01","age at death (months, imputed)"
"p7_02","age at death (months, imputed)"
"p7_03","age at death (months, imputed)"
"p7_04","age at death (months, imputed)"
"p7_05","age at death (months, imputed)"
"p7_06","age at death (months, imputed)"
"p7_07","age at death (months, imputed)"
"p7_08","age at death (months, imputed)"
"p7_09","age at death (months, imputed)"
"p7_10","age at death (months, imputed)"
"p7_11","age at death (months, imputed)"
"p7_12","age at death (months, imputed)"
"p7_13","age at death (months, imputed)"
"p7_14","age at death (months, imputed)"
"p7_15","age at death (months, imputed)"
"p7_16","age at death (months, imputed)"
"p7_17","age at death (months, imputed)"
"p7_18","age at death (months, imputed)"
"p7_19","age at death (months, imputed)"
"p7_20","age at death (months, imputed)"
"p8_01","current age of child"
"p8_02","current age of child"
"p8_03","current age of child"
"p8_04","current age of child"
"p8_05","current age of child"
"p8_06","current age of child"
"p8_07","current age of child"
"p8_08","current age of child"
"p8_09","current age of child"
"p8_10","current age of child"
"p8_11","current age of child"
"p8_12","current age of child"
"p8_13","current age of child"
"p8_14","current age of child"
"p8_15","current age of child"
"p8_16","current age of child"
"p8_17","current age of child"
"p8_18","current age of child"
"p8_19","current age of child"
"p8_20","current age of child"
"p9_01","child lives with whom"
"p9_02","child lives with whom"
"p9_03","child lives with whom"
"p9_04","child lives with whom"
"p9_05","child lives with whom"
"p9_06","child lives with whom"
"p9_07","child lives with whom"
"p9_08","child lives with whom"
"p9_09","child lives with whom"
"p9_10","child lives with whom"
"p9_11","child lives with whom"
"p9_12","child lives with whom"
"p9_13","child lives with whom"
"p9_14","child lives with whom"
"p9_15","child lives with whom"
"p9_16","child lives with whom"
"p9_17","child lives with whom"
"p9_18","child lives with whom"
"p9_19","child lives with whom"
"p9_20","child lives with whom"
"p10_01","completeness of information"
"p10_02","completeness of information"
"p10_03","completeness of information"
"p10_04","completeness of information"
"p10_05","completeness of information"
"p10_06","completeness of information"
"p10_07","completeness of information"
"p10_08","completeness of information"
"p10_09","completeness of information"
"p10_10","completeness of information"
"p10_11","completeness of information"
"p10_12","completeness of information"
"p10_13","completeness of information"
"p10_14","completeness of information"
"p10_15","completeness of information"
"p10_16","completeness of information"
"p10_17","completeness of information"
"p10_18","completeness of information"
"p10_19","completeness of information"
"p10_20","completeness of information"
"p11_01","preceding pregnancy interval (months)"
"p11_02","preceding pregnancy interval (months)"
"p11_03","preceding pregnancy interval (months)"
"p11_04","preceding pregnancy interval (months)"
"p11_05","preceding pregnancy interval (months)"
"p11_06","preceding pregnancy interval (months)"
"p11_07","preceding pregnancy interval (months)"
"p11_08","preceding pregnancy interval (months)"
"p11_09","preceding pregnancy interval (months)"
"p11_10","preceding pregnancy interval (months)"
"p11_11","preceding pregnancy interval (months)"
"p11_12","preceding pregnancy interval (months)"
"p11_13","preceding pregnancy interval (months)"
"p11_14","preceding pregnancy interval (months)"
"p11_15","preceding pregnancy interval (months)"
"p11_16","preceding pregnancy interval (months)"
"p11_17","preceding pregnancy interval (months)"
"p11_18","preceding pregnancy interval (months)"
"p11_19","preceding pregnancy interval (months)"
"p11_20","preceding pregnancy interval (months)"
"p12_01","succeeding pregnancy interval (months)"
"p12_02","succeeding pregnancy interval (months)"
"p12_03","succeeding pregnancy interval (months)"
"p12_04","succeeding pregnancy interval (months)"
"p12_05","succeeding pregnancy interval (months)"
"p12_06","succeeding pregnancy interval (months)"
"p12_07","succeeding pregnancy interval (months)"
"p12_08","succeeding pregnancy interval (months)"
"p12_09","succeeding pregnancy interval (months)"
"p12_10","succeeding pregnancy interval (months)"
"p12_11","succeeding pregnancy interval (months)"
"p12_12","succeeding pregnancy interval (months)"
"p12_13","succeeding pregnancy interval (months)"
"p12_14","succeeding pregnancy interval (months)"
"p12_15","succeeding pregnancy interval (months)"
"p12_16","succeeding pregnancy interval (months)"
"p12_17","succeeding pregnancy interval (months)"
"p12_18","succeeding pregnancy interval (months)"
"p12_19","succeeding pregnancy interval (months)"
"p12_20","succeeding pregnancy interval (months)"
"p13_01","flag for age at death"
"p13_02","flag for age at death"
"p13_03","flag for age at death"
"p13_04","flag for age at death"
"p13_05","flag for age at death"
"p13_06","flag for age at death"
"p13_07","flag for age at death"
"p13_08","flag for age at death"
"p13_09","flag for age at death"
"p13_10","flag for age at death"
